Word,Total occurrences,Sentences containing the word,Documents
economist,1,•  I began to understand and appreciate the distance he had traveled - from being a boy herding goats to a student at the University of Hawaii and Harvard University to the respected economist that he was upon his return to Kenya,• doc4.txt
knowledge,1,"•  In many ways, he embodied the new Africa of the early Sixties, a man who had obtained the knowledge of the Western world, and sought to bring it back home, where he hoped he could help create a new nation",• doc4.txt
prevented,1,"•  His ideas about how Kenya should progress often put him at odds with the politics of tribe and patronage, and because he spoke his mind, sometimes to a fault, he ended up being fired from his job and prevented from finding work in the country for many, many years",• doc4.txt
reconciled,1,"•  And on a more personal level, because he never fully reconciled the traditions of his village with more modern conceptions of family - because he related to women as his father had, expecting them to obey him no matter what he did - his family life was unstable, and his children never knew him well",• doc4.txt
conceptions,1,"•  And on a more personal level, because he never fully reconciled the traditions of his village with more modern conceptions of family - because he related to women as his father had, expecting them to obey him no matter what he did - his family life was unstable, and his children never knew him well",• doc4.txt
expecting,1,"•  And on a more personal level, because he never fully reconciled the traditions of his village with more modern conceptions of family - because he related to women as his father had, expecting them to obey him no matter what he did - his family life was unstable, and his children never knew him well",• doc4.txt
contradictions,1,"• In many ways, then, my family's life reflects some of the contradictions of Kenya, and indeed, the African continent as a whole",• doc4.txt
self-determination,1,"•  The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds",• doc4.txt
acknowledge,1,"• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict",• doc4.txt
potential,1,"• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict",• doc4.txt
post-colonial,1,"• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict",• doc4.txt
shillings,1,"• But for all the progress that has been made, we must surely acknowledge that neither Kenya nor the African continent have yet fulfilled their potential - that the hopefulness of the post-colonial era has been replaced by cynicism and sometimes despair, and that true freedom has not yet been won for those struggling to live on less than a few shillings a day, for those who have fallen prey to HIV/AIDS or malaria, to those ordinary citizens who continue to find themselves trapped in the crossfire of war or ethnic conflict",• doc4.txt
statistic,1,• One statistic powerfully describes this unfulfilled promise,• doc4.txt
powerfully,1,• One statistic powerfully describes this unfulfilled promise,• doc4.txt
describes,1,• One statistic powerfully describes this unfulfilled promise,• doc4.txt
unfulfilled,1,• One statistic powerfully describes this unfulfilled promise,• doc4.txt
tremendous,1,"• How can we explain this fact? Certainly it is not due to lack of effort on the part of ordinary Kenyans - we know how hard Kenyans are willing to work, the tremendous sacrifices that Kenyan mothers make for their children, the Herculean efforts that Kenyan fathers make for their families",• doc4.txt
herculean,1,"• How can we explain this fact? Certainly it is not due to lack of effort on the part of ordinary Kenyans - we know how hard Kenyans are willing to work, the tremendous sacrifices that Kenyan mothers make for their children, the Herculean efforts that Kenyan fathers make for their families",• doc4.txt
creativity,1,"•  We know as well the talent, the intelligence, and the creativity that exists in this country",• doc4.txt
historical,1,"• Kenya, like many African nations did not come of age under the best historical circumstances",• doc4.txt
circumstances,1,"• Kenya, like many African nations did not come of age under the best historical circumstances",• doc4.txt
colonialism,1,"•  It suffers from the legacy of colonialism, of national boundaries that were drawn without regard to the political and tribal alignments of indigenous peoples, and that therefore fed conflict and tribal strife",• doc4.txt
boundaries,1,"•  It suffers from the legacy of colonialism, of national boundaries that were drawn without regard to the political and tribal alignments of indigenous peoples, and that therefore fed conflict and tribal strife",• doc4.txt
alignments,1,"•  It suffers from the legacy of colonialism, of national boundaries that were drawn without regard to the political and tribal alignments of indigenous peoples, and that therefore fed conflict and tribal strife",• doc4.txt
indigenous,1,"•  It suffers from the legacy of colonialism, of national boundaries that were drawn without regard to the political and tribal alignments of indigenous peoples, and that therefore fed conflict and tribal strife",• doc4.txt
therefore,1,"•  It suffers from the legacy of colonialism, of national boundaries that were drawn without regard to the political and tribal alignments of indigenous peoples, and that therefore fed conflict and tribal strife",• doc4.txt
impacting,1,"•  This means that the education and health care systems - issues that my own nation more than 200 years old still struggles with - lag behind, impacting its development",• doc4.txt
geography,1,"• Third, Kenya is hurt from factors unique to Africa's geography and place in the world -- disease, distance from viable markets and especially terms of trade",• doc4.txt
navigating,1,"•  When African nations were just gaining independence, industrialized nations had decades of experience building their domestic economies and navigating the international financial system",• doc4.txt
frederick,1,"•  And, as Frederick Douglass once stated: ""Power concedes nothing without a demand",• doc4.txt
liberalize,1,"• "" As a result, many African nations have been asked to liberalize their markets without reciprocal concessions from mature economies",• doc4.txt
reciprocal,1,"• "" As a result, many African nations have been asked to liberalize their markets without reciprocal concessions from mature economies",• doc4.txt
concessions,1,"• "" As a result, many African nations have been asked to liberalize their markets without reciprocal concessions from mature economies",• doc4.txt
agriculture,1,•  This lack of access for Africa's agriculture and commodities has restricted an important engine of economic growth,• doc4.txt
commodities,1,•  This lack of access for Africa's agriculture and commodities has restricted an important engine of economic growth,• doc4.txt
restricted,1,•  This lack of access for Africa's agriculture and commodities has restricted an important engine of economic growth,• doc4.txt
extraction,1,"•  Other issues, such as resource extraction and the drain of human capital have also been major factors",• doc4.txt
intelligent,1,"•  And, I will do my part to shape an intelligent foreign policy that promotes peace and prosperity",• doc4.txt
influences,1,• It's more than just history and outside influences that explain why Kenya lags behind,• doc4.txt
impressive,1,• There is no doubt that what Kenyans have accomplished with this independence is both impressive and inspiring,• doc4.txt
inspiring,1,• There is no doubt that what Kenyans have accomplished with this independence is both impressive and inspiring,• doc4.txt
partnership,1,"•  You enjoy a robust civil society; a press that's free, fair, and honest; and a strong partnership with my own country that has resulted in critical cooperation on terrorist issues, real strides in fighting disease and poverty, and an important alliance on fostering regional stability",• doc4.txt
fostering,1,"•  You enjoy a robust civil society; a press that's free, fair, and honest; and a strong partnership with my own country that has resulted in critical cooperation on terrorist issues, real strides in fighting disease and poverty, and an important alliance on fostering regional stability",• doc4.txt
questionable,1,"•  My own city of Chicago has been the home of some of the most corrupt local politics in American history, from patronage machines to questionable elections",• doc4.txt
painfully,1,"• It is painfully obvious that corruption stifles development - it siphons off scarce resources that could improve infrastructure, bolster education systems, and strengthen public health",• doc4.txt
entrepreneurs,1,•  It stacks the deck so high against entrepreneurs that they cannot get their job-creating ideas off the ground,• doc4.txt
job-creating,1,•  It stacks the deck so high against entrepreneurs that they cannot get their job-creating ideas off the ground,• doc4.txt
good-paying,1,"•  In fact, one recent survey showed that corruption in Kenya costs local firms 6% of their revenues, the difference between good-paying jobs in Kenya or somewhere else",• doc4.txt
somewhere,1,"•  In fact, one recent survey showed that corruption in Kenya costs local firms 6% of their revenues, the difference between good-paying jobs in Kenya or somewhere else",• doc4.txt
sickening,1,"•  And corruption also erodes the state from the inside out, sickening the justice system until there is no justice to be found, poisoning the police forces until their presence becomes a source of insecurity rather than comfort",• doc4.txt
poisoning,1,"•  And corruption also erodes the state from the inside out, sickening the justice system until there is no justice to be found, poisoning the police forces until their presence becomes a source of insecurity rather than comfort",• doc4.txt
insecurity,1,"•  And corruption also erodes the state from the inside out, sickening the justice system until there is no justice to be found, poisoning the police forces until their presence becomes a source of insecurity rather than comfort",• doc4.txt
magnifying,1,• Corruption has a way of magnifying the very worst twists of fate,• doc4.txt
suspected,1,"• It can shield a war criminal - even one like Felicien Kabuga, suspected of helping to finance and orchestrate the Rwandan genocide - by allowing him to purchase safe haven for a time and robbing all humanity of the opportunity to bring the criminal to justice",• doc4.txt
orchestrate,1,"• It can shield a war criminal - even one like Felicien Kabuga, suspected of helping to finance and orchestrate the Rwandan genocide - by allowing him to purchase safe haven for a time and robbing all humanity of the opportunity to bring the criminal to justice",• doc4.txt
facilitated,1,"• Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive",• doc4.txt
documents,1,"• Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive",• doc4.txt
advantage,1,"• Some of the worst actors on the international stage can also take advantage of the collective exhaustion and outrage that people feel with official corruption, as we've seen with Islamic extremists who promise purification, but deliver totalitarianism",• doc4.txt
exhaustion,1,"• Some of the worst actors on the international stage can also take advantage of the collective exhaustion and outrage that people feel with official corruption, as we've seen with Islamic extremists who promise purification, but deliver totalitarianism",• doc4.txt
extremists,1,"• Some of the worst actors on the international stage can also take advantage of the collective exhaustion and outrage that people feel with official corruption, as we've seen with Islamic extremists who promise purification, but deliver totalitarianism",• doc4.txt
purification,1,"• Some of the worst actors on the international stage can also take advantage of the collective exhaustion and outrage that people feel with official corruption, as we've seen with Islamic extremists who promise purification, but deliver totalitarianism",• doc4.txt
totalitarianism,1,"• Some of the worst actors on the international stage can also take advantage of the collective exhaustion and outrage that people feel with official corruption, as we've seen with Islamic extremists who promise purification, but deliver totalitarianism",• doc4.txt
distortions,1,"•  Endemic corruption opens the door to this kind of movement, and in its wake comes a new set of distortions and betrayals of public trust",• doc4.txt
betrayals,1,"•  Endemic corruption opens the door to this kind of movement, and in its wake comes a new set of distortions and betrayals of public trust",• doc4.txt
courageous,1,"•  The Kenyan media has been courageous in uncovering and reporting on some of the most blatant abuses of the system, and there has been a growing recognition among people and politicians that this is a critical issue",• doc4.txt
uncovering,1,"•  The Kenyan media has been courageous in uncovering and reporting on some of the most blatant abuses of the system, and there has been a growing recognition among people and politicians that this is a critical issue",• doc4.txt
reporting,1,"•  The Kenyan media has been courageous in uncovering and reporting on some of the most blatant abuses of the system, and there has been a growing recognition among people and politicians that this is a critical issue",• doc4.txt
dismissal,1,"•  This coalition succeeded by promising change, and their early gestures - the dismissal of the shaky judges, the renewed vigor of the investigation into the Goldenberg scandal, the calls for real disclosure of elected officials' personal wealth - were all promising",• doc4.txt
goldenberg,1,"•  This coalition succeeded by promising change, and their early gestures - the dismissal of the shaky judges, the renewed vigor of the investigation into the Goldenberg scandal, the calls for real disclosure of elected officials' personal wealth - were all promising",• doc4.txt
disclosure,1,"•  This coalition succeeded by promising change, and their early gestures - the dismissal of the shaky judges, the renewed vigor of the investigation into the Goldenberg scandal, the calls for real disclosure of elected officials' personal wealth - were all promising",• doc4.txt
officials',1,"•  This coalition succeeded by promising change, and their early gestures - the dismissal of the shaky judges, the renewed vigor of the investigation into the Goldenberg scandal, the calls for real disclosure of elected officials' personal wealth - were all promising",• doc4.txt
piecemeal,1,"• Today, we're starting to see that the Kenyan people want more than a simple changing of the guard, more than piecemeal reforms to a crisis that's crippling their country",• doc4.txt
referendum,1,"•  The Kenyan people are crying out for real change, and whether one voted orange or banana in last year's referendum, the message that many Kenyans seemed to be sending was one of dissatisfaction with the pace of reform, and real frustration with continued tolerance of corruption at high levels",• doc4.txt
dissatisfaction,1,"•  The Kenyan people are crying out for real change, and whether one voted orange or banana in last year's referendum, the message that many Kenyans seemed to be sending was one of dissatisfaction with the pace of reform, and real frustration with continued tolerance of corruption at high levels",• doc4.txt
tolerance,1,"•  The Kenyan people are crying out for real change, and whether one voted orange or banana in last year's referendum, the message that many Kenyans seemed to be sending was one of dissatisfaction with the pace of reform, and real frustration with continued tolerance of corruption at high levels",• doc4.txt
solutions,1,"•  I don't have all the solutions or think that they'll be easy, but there are a few places that a country truly committed to reform could start",• doc4.txt
temptation,1,• We know that the temptation to take a bribe is greater when you're not making enough on the job,• doc4.txt
encouraged,1,"•  And we also know that the more people there are on the government payroll, the more likely it is that someone will be encouraged to take a bribe",• doc4.txt
advertised,1,"•  And the way to create good jobs is when the rules of a society are transparent - when there's a clear and advertised set of laws and regulations regarding how to start a business, what it takes to own property, how to go about getting a loan - there is less of a chance that some corrupt bureaucrat will make up his own rules that suit only his interests",• doc4.txt
regulations,1,"•  And the way to create good jobs is when the rules of a society are transparent - when there's a clear and advertised set of laws and regulations regarding how to start a business, what it takes to own property, how to go about getting a loan - there is less of a chance that some corrupt bureaucrat will make up his own rules that suit only his interests",• doc4.txt
regarding,1,"•  And the way to create good jobs is when the rules of a society are transparent - when there's a clear and advertised set of laws and regulations regarding how to start a business, what it takes to own property, how to go about getting a loan - there is less of a chance that some corrupt bureaucrat will make up his own rules that suit only his interests",• doc4.txt
bureaucrat,1,"•  And the way to create good jobs is when the rules of a society are transparent - when there's a clear and advertised set of laws and regulations regarding how to start a business, what it takes to own property, how to go about getting a loan - there is less of a chance that some corrupt bureaucrat will make up his own rules that suit only his interests",• doc4.txt
clarifying,1,•  Clarifying these rules and focusing resources on building a judicial system that can enforce them and resolve disputes should be a primary goal of any government suffering from corruption,• doc4.txt
information,1,"• In addition, we know that the more information the public is provided, the easier it will be for your Kenyan brothers and sisters out in the villages to evaluate whether they are being treated fairly by their public servants or not",• doc4.txt
declarations,1,"•  Wealth declarations do little good if no one can access them, and accountability in government spending is not possible if no one knows how much was available and allocated to a given project in the first place",• doc4.txt
allocated,1,"•  Wealth declarations do little good if no one can access them, and accountability in government spending is not possible if no one knows how much was available and allocated to a given project in the first place",• doc4.txt
ethnic-based,1,"• Finally, ethnic-based tribal politics has to stop",• doc4.txt
fractures,1,•  It stifles innovation and fractures the fabric of the society,• doc4.txt
advancing,1,"•  Instead of opening businesses and engaging in commerce, people come to rely on patronage and payback as a means of advancing",• doc4.txt
brightest,1,"•  When people are judged by merit, not connections, then the best and brightest can lead the country, people will work hard, and the entire economy will grow - everyone will benefit and more resources will be available for all, not just select groups",• doc4.txt
strongest,1,"• Of course, in the end, one of the strongest weapons your country has against corruption is the ability of you, the people, to stand up and speak out about the injustices you see",• doc4.txt
injustices,1,"• Of course, in the end, one of the strongest weapons your country has against corruption is the ability of you, the people, to stand up and speak out about the injustices you see",• doc4.txt
guardians,1,•  The Kenyan people are the ultimate guardians against abuses,• doc4.txt
insidious,1,"• The world knows the names of Wangari Maathai and John Githongo, who are fighting against the insidious corruption that has weakened Kenya",• doc4.txt
inspectors,1,"•  As well as numerous Kenyan men and women who have refused to pay bribes to get civil servants to perform their duties; the auditors and inspectors general who have done the job before them accurately and fairly, regardless of where the facts have led; the journalists who asked questions and pushed for answers when it may have been more lucrative to look the other way, or whip up a convenient fiction",• doc4.txt
accurately,1,"•  As well as numerous Kenyan men and women who have refused to pay bribes to get civil servants to perform their duties; the auditors and inspectors general who have done the job before them accurately and fairly, regardless of where the facts have led; the journalists who asked questions and pushed for answers when it may have been more lucrative to look the other way, or whip up a convenient fiction",• doc4.txt
journalists,1,"•  As well as numerous Kenyan men and women who have refused to pay bribes to get civil servants to perform their duties; the auditors and inspectors general who have done the job before them accurately and fairly, regardless of where the facts have led; the journalists who asked questions and pushed for answers when it may have been more lucrative to look the other way, or whip up a convenient fiction",• doc4.txt
lucrative,1,"•  As well as numerous Kenyan men and women who have refused to pay bribes to get civil servants to perform their duties; the auditors and inspectors general who have done the job before them accurately and fairly, regardless of where the facts have led; the journalists who asked questions and pushed for answers when it may have been more lucrative to look the other way, or whip up a convenient fiction",• doc4.txt
convenient,1,"•  As well as numerous Kenyan men and women who have refused to pay bribes to get civil servants to perform their duties; the auditors and inspectors general who have done the job before them accurately and fairly, regardless of where the facts have led; the journalists who asked questions and pushed for answers when it may have been more lucrative to look the other way, or whip up a convenient fiction",• doc4.txt
anonymous,1,"•  And then there are anonymous Kenyan whistleblowers who show us what is, so that we can all work together to demand what should be",• doc4.txt
whistleblowers,1,"•  And then there are anonymous Kenyan whistleblowers who show us what is, so that we can all work together to demand what should be",• doc4.txt
rejecting,1,"• By rejecting the insulting idea that corruption is somehow a part of Kenyan culture, these heroes reveal the very opposite - they reveal a strength and integrity of character that can build a great country, a great future",• doc4.txt
insulting,1,"• By rejecting the insulting idea that corruption is somehow a part of Kenyan culture, these heroes reveal the very opposite - they reveal a strength and integrity of character that can build a great country, a great future",• doc4.txt
integrity,1,"• By rejecting the insulting idea that corruption is somehow a part of Kenyan culture, these heroes reveal the very opposite - they reveal a strength and integrity of character that can build a great country, a great future",• doc4.txt
anti-corruption,1,"•  By focusing on building strong, independent institutions - like an anti-corruption commission with real authority - rather than cults of personality, they make a contribution to their country that will last longer than their own lives",• doc4.txt
commission,1,"•  By focusing on building strong, independent institutions - like an anti-corruption commission with real authority - rather than cults of personality, they make a contribution to their country that will last longer than their own lives",• doc4.txt
personality,1,"•  By focusing on building strong, independent institutions - like an anti-corruption commission with real authority - rather than cults of personality, they make a contribution to their country that will last longer than their own lives",• doc4.txt
contribution,1,"•  By focusing on building strong, independent institutions - like an anti-corruption commission with real authority - rather than cults of personality, they make a contribution to their country that will last longer than their own lives",• doc4.txt
ethnicity,1,• You will decide if the standards and the rules will be the same for everyone - regardless of ethnicity or of wealth,• doc4.txt
envisioned,1,• This is the Kenya that so many who came before you envisioned - all those men and women who struggled and sacrificed and fought for the freedom you enjoy today,• doc4.txt
struggled,1,• This is the Kenya that so many who came before you envisioned - all those men and women who struggled and sacrificed and fought for the freedom you enjoy today,• doc4.txt
relatives,1,•  Since that time I have known him through stories - those my mother would tell and those I heard from my relatives here in Kenya on my last trip to this country,• doc4.txt
forefathers,1,•  We have the opportunity to muster the courage to fulfill the promise of our forefathers and lead our great nations towards a better future,• doc4.txt
repressive,1,• In today's Kenya - a Kenya already more open and less repressive than in my father's day - it is that courage that will bring the reform so many of you so desperately want and deserve,• doc4.txt
motivated,1,"•  And I accepted the job, sight unseen, motivated then by a single, simple, powerful idea - that I might play a small part in building a better America",• doc1.txt
chicago's,1,• My work took me to some of Chicago's poorest neighborhoods,• doc1.txt
lay-people,1,•  I joined with pastors and lay-people to deal with communities that had been ravaged by plant closings,• doc1.txt
executives,1,"•  I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill",• doc1.txt
textbooks,1,"•  I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill",• doc1.txt
christian,1,"• It was in these neighborhoods that I received the best education I ever had, and where I learned the true meaning of my Christian faith",• doc1.txt
constitutional,1,"•  I became a civil rights lawyer, and taught constitutional law, and after a time, I came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate",• doc1.txt
cherished,1,"•  I became a civil rights lawyer, and taught constitutional law, and after a time, I came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate",• doc1.txt
participation,1,"•  I became a civil rights lawyer, and taught constitutional law, and after a time, I came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate",• doc1.txt
electorate,1,"•  I became a civil rights lawyer, and taught constitutional law, and after a time, I came to understand that our cherished rights of liberty and equality depend on the active participation of an awakened electorate",• doc1.txt
businessmen,1,"• It was here, in Springfield, where I saw all that is America converge - farmers and teachers, businessmen and laborers, all of them with a story to tell, all of them seeking a seat at the table, all of them clamoring to be heard",• doc1.txt
clamoring,1,"• It was here, in Springfield, where I saw all that is America converge - farmers and teachers, businessmen and laborers, all of them with a story to tell, all of them seeking a seat at the table, all of them clamoring to be heard",• doc1.txt
friendships,1,•  I made lasting friendships here - friends that I see in the audience today,• doc1.txt
disagreeable,1,"• It was here we learned to disagree without being disagreeable - that it's possible to compromise so long as you know those principles that can never be compromised; and that so long as we're willing to listen to each other, we can assume the best in people instead of the worst",• doc1.txt
principles,1,"• It was here we learned to disagree without being disagreeable - that it's possible to compromise so long as you know those principles that can never be compromised; and that so long as we're willing to listen to each other, we can assume the best in people instead of the worst",• doc1.txt
compromised,1,"• It was here we learned to disagree without being disagreeable - that it's possible to compromise so long as you know those principles that can never be compromised; and that so long as we're willing to listen to each other, we can assume the best in people instead of the worst",• doc1.txt
essential,1,"• It was here, in Springfield, where North, South, East and West come together that I was reminded of the essential decency of the American people - where I came to believe that through this decency, we can build a more hopeful America",• doc1.txt
candidacy,1,"• And that is why, in the shadow of the Old State Capitol, where Lincoln once called on a divided house to stand together, where common hopes and common dreams still, I stand before you today to announce my candidacy for President of the United States",• doc1.txt
recognize,1,• I recognize there is a certain presumptuousness - a certain audacity - to this announcement,• doc1.txt
presumptuousness,1,• I recognize there is a certain presumptuousness - a certain audacity - to this announcement,• doc1.txt
announcement,1,• I recognize there is a certain presumptuousness - a certain audacity - to this announcement,• doc1.txt
secession,1,"•  In the face of secession, we unified a nation and set the captives free",• doc1.txt
righteousness,1,"•  We welcomed immigrants to our shores, we opened railroads to the west, we landed a man on the moon, and we heard a King's call to let justice roll down like water, and righteousness like a mighty stream",• doc1.txt
unyielding,1,"• For that is our unyielding faith - that in the face of impossible odds, people who love their country can change it",• doc1.txt
millennium,1,"•  It is because men and women of every race, from every walk of life, continued to march for freedom long after Lincoln was laid to rest, that today we have the chance to face the challenges of this millennium together, as one people - as Americans",• doc1.txt
threatens,1,"• All of us know what those challenges are today - a war with no end, a dependence on oil that threatens our future, schools where too many children aren't learning, and families struggling paycheck to paycheck despite working as hard as they can",• doc1.txt
avoidance,1,"•  What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems",• doc1.txt
decisions,1,"•  What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems",• doc1.txt
preference,1,"•  What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems",• doc1.txt
disillusionment,1,"• And as people have looked away in disillusionment and frustration, we know what's filled the void",• doc1.txt
watergate,1,•  I was proud to help lead the fight in Congress that led to the most sweeping ethics reform since Watergate,• doc1.txt
instilling,1,"•  Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice",• doc1.txt
achievement,1,"•  Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice",• doc1.txt
scientific,1,"•  Let's make college more affordable, and let's invest in scientific research, and let's lay down broadband lines through the heart of inner cities and rural towns all across America",• doc1.txt
broadband,1,"•  Let's make college more affordable, and let's invest in scientific research, and let's lay down broadband lines through the heart of inner cities and rural towns all across America",• doc1.txt
hardworking,1,•  Let's make it possible for hardworking Americans to save for retirement,• doc1.txt
organizers,1,•  And let's allow our unions and their organizers to lift up this country's middle-class again,• doc1.txt
country's,1,•  And let's allow our unions and their organizers to lift up this country's middle-class again,• doc1.txt
treatment,1,"•  We can control costs by focusing on prevention, by providing better treatment to the chronically ill, and using technology to cut the bureaucracy",• doc1.txt
chronically,1,"•  We can control costs by focusing on prevention, by providing better treatment to the chronically ill, and using technology to cut the bureaucracy",• doc1.txt
universal,1,"•  Let's be the generation that says right here, right now, that we will have universal health care in America by the end of the next president's first term",• doc1.txt
president's,1,"•  Let's be the generation that says right here, right now, that we will have universal health care in America by the end of the next president's first term",• doc1.txt
greenhouse,1,•  We can set up a system for capping greenhouse gases,• doc1.txt
incentive,1,"•  We can turn this crisis of global warming into a moment of opportunity for innovation, and job creation, and an incentive for businesses that will serve as a model for the world",• doc1.txt
september,1,"• Most of all, let's be the generation that never forgets what happened on that September day and confront the terrorists with everything we've got",• doc1.txt
unguarded,1,"•  I've worked with Republican Senator Dick Lugar to pass a law that will secure and destroy some of the world's deadliest, unguarded weapons",• doc1.txt
capabilities,1,"•  We can work together to track terrorists down with a stronger military, we can tighten the net around their finances, and we can improve our intelligence capabilities",• doc1.txt
exporting,1,•  But let us also understand that ultimate victory against our enemies will come only by rebuilding our alliances and exporting those ideals that bring hope and opportunity to millions around the globe,• doc1.txt
disagreement,1,•  It's time to admit that no amount of American lives can resolve the political disagreement that lies at the heart of someone else's civil war,• doc1.txt
homecoming,1,"• Finally, there is one other thing that is not too late to get right about this war - and that is the homecoming of the men and women - our veterans - who have sacrificed the most",• doc1.txt
skepticism,1,•  I understand the skepticism,• doc1.txt
ten-point,1,•  All of us running for president will travel around the country offering ten-point plans and making grand speeches; all of us will trumpet those qualities we believe make us uniquely qualified to lead the country,• doc1.txt
qualities,1,•  All of us running for president will travel around the country offering ten-point plans and making grand speeches; all of us will trumpet those qualities we believe make us uniquely qualified to lead the country,• doc1.txt
qualified,1,•  All of us running for president will travel around the country offering ten-point plans and making grand speeches; all of us will trumpet those qualities we believe make us uniquely qualified to lead the country,• doc1.txt
reclaiming,1,"•  This campaign has to be about reclaiming the meaning of citizenship, restoring our sense of common purpose, and realizing that few obstacles can withstand the power of millions of voices calling for change",• doc1.txt
citizenship,1,"•  This campaign has to be about reclaiming the meaning of citizenship, restoring our sense of common purpose, and realizing that few obstacles can withstand the power of millions of voices calling for change",• doc1.txt
restoring,1,"•  This campaign has to be about reclaiming the meaning of citizenship, restoring our sense of common purpose, and realizing that few obstacles can withstand the power of millions of voices calling for change",• doc1.txt
realizing,1,"•  This campaign has to be about reclaiming the meaning of citizenship, restoring our sense of common purpose, and realizing that few obstacles can withstand the power of millions of voices calling for change",• doc1.txt
obstacles,1,"•  This campaign has to be about reclaiming the meaning of citizenship, restoring our sense of common purpose, and realizing that few obstacles can withstand the power of millions of voices calling for change",• doc1.txt
withstand,1,"•  This campaign has to be about reclaiming the meaning of citizenship, restoring our sense of common purpose, and realizing that few obstacles can withstand the power of millions of voices calling for change",• doc1.txt
self-made,1,"• But the life of a tall, gangly, self-made Springfield lawyer tells us that a different future is possible",• doc1.txt
conviction,1,• He tells us that there is power in conviction,• doc1.txt
organized,1,"• As Lincoln organized the forces arrayed against slavery, he was heard to say: ""Of strange, discordant, and even hostile elements, we gathered from the four winds, and formed and fought to battle through",• doc1.txt
discordant,1,"• As Lincoln organized the forces arrayed against slavery, he was heard to say: ""Of strange, discordant, and even hostile elements, we gathered from the four winds, and formed and fought to battle through",• doc1.txt
unfinished,1,"• I want us to take up the unfinished business of perfecting our union, and building a better America",• doc1.txt
perfecting,1,"• I want us to take up the unfinished business of perfecting our union, and building a better America",• doc1.txt
improbable,1,"• And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you",• doc1.txt
stretching,1,"• And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you",• doc1.txt
